model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Llama-3.1-8B-Instruct,16,256,7,drafter_decode,5.551258928571428,5.622,0.37427233293264106,4.655,5.944,112
Llama-3.1-8B-Instruct,16,512,7,drafter_decode,5.790883928571429,5.841,0.46716790479538917,4.677,6.347,112
Llama-3.1-8B-Instruct,16,1024,7,drafter_decode,6.2580625,6.2204999999999995,0.691219698601128,4.765,7.878,112
Llama-3.1-8B-Instruct,16,2048,7,drafter_decode,7.0766481481481485,7.0735,0.9963146419166353,5.053,8.627,108
Llama-3.1-8B-Instruct,16,4096,7,drafter_decode,7.33995,6.965,1.287709142570086,4.655,8.628,100
Llama-3.1-8B-Instruct,24,256,7,drafter_decode,6.710955357142857,6.9575,0.8428074212656245,4.647,7.321,112
Llama-3.1-8B-Instruct,24,512,7,drafter_decode,7.068964285714285,7.265,0.9830389902596216,4.717,7.903,112
Llama-3.1-8B-Instruct,24,1024,7,drafter_decode,7.553638888888889,7.865,1.3045219445812635,4.801,9.094,108
Llama-3.1-8B-Instruct,24,2048,7,drafter_decode,8.141586956521738,9.065,2.253255438089199,4.948,11.526,92
Llama-3.1-8B-Instruct,24,4096,7,drafter_decode,8.210125,7.27,2.628534558784445,4.683,11.508,88
Llama-3.1-8B-Instruct,32,256,7,drafter_decode,7.04675,7.271,0.9795700886401945,4.665,8.138,112
Llama-3.1-8B-Instruct,32,512,7,drafter_decode,7.617410714285715,7.757,1.220246663541503,4.744,8.975,112
Llama-3.1-8B-Instruct,32,1024,7,drafter_decode,8.475555555555555,8.715499999999999,1.7000799944528906,4.837,10.675,108
Llama-3.1-8B-Instruct,32,2048,7,drafter_decode,9.665652173913044,10.629,3.0144499997121286,5.06,14.527,92
Llama-3.1-8B-Instruct,32,4096,7,drafter_decode,10.078454545454546,8.8015,3.5809025411765103,4.723,14.518,88
Llama-3.1-8B-Instruct,48,256,7,drafter_decode,8.377723214285714,8.8,1.4994697213421844,4.707,9.421,112
Llama-3.1-8B-Instruct,48,512,7,drafter_decode,8.793166666666666,9.3935,1.8540511264361759,4.798,10.594,108
Llama-3.1-8B-Instruct,48,1024,7,drafter_decode,9.149826086956521,10.559,2.8668319061662983,4.833,12.994,92
Llama-3.1-8B-Instruct,48,2048,7,drafter_decode,10.335697368421053,12.926,4.547468488495511,4.953,17.728,76
Llama-3.1-8B-Instruct,48,4096,7,drafter_decode,10.84578947368421,10.657,4.661516397956897,4.834,17.727,76
Llama-3.1-8B-Instruct,64,256,7,drafter_decode,9.999044642857143,10.6795,2.1582558289540854,4.684,11.48,112
Llama-3.1-8B-Instruct,64,512,7,drafter_decode,10.653814814814815,11.433499999999999,2.521169955932039,4.831,13.005,108
Llama-3.1-8B-Instruct,64,1024,7,drafter_decode,11.349065217391304,12.9565,3.6080305449486385,4.847,16.068,92
Llama-3.1-8B-Instruct,64,2048,7,drafter_decode,13.162934210526316,16.0325,5.57148286026985,5.03,22.262,76
